Filename,Total_Vertices,Mean,Median,Std,Min,Max,RMSE,Pct_Within_Cutoff,R1_Count,R1_Mean,R1_Max,R1_RMSE,R1_Pct_Within,R2_Count,R2_Mean,R2_Max,R2_RMSE,R2_Pct_Within,R3_Count,R3_Mean,R3_Max,R3_RMSE,R3_Pct_Within,R4_Count,R4_Mean,R4_Max,R4_RMSE,R4_Pct_Within,R5_Count,R5_Mean,R5_Max,R5_RMSE,R5_Pct_Within,R6_Count,R6_Mean,R6_Max,R6_RMSE,R6_Pct_Within,R7_Count,R7_Mean,R7_Max,R7_RMSE,R7_Pct_Within
1_50_directional_fa_values.csv,7160,0.106876,0.026372,0.285820,0.000667,1.965748,0.305149,93.83,850,0.028559,0.029825,0.028571,100.00,667,0.026162,0.028735,0.026290,100.00,2318,0.026650,0.165229,0.030890,100.00,760,0.678581,1.965748,0.902812,49.08,400,0.236879,1.035365,0.326518,86.25,1009,0.024004,0.029119,0.024512,100.00,1156,0.023393,0.027710,0.023488,100.00
2_50_directional_fa_values.csv,7160,0.199399,0.026799,0.584949,0.000967,3.965574,0.618001,90.81,850,0.028516,0.030794,0.028528,100.00,667,0.025639,0.029495,0.026071,100.00,2318,0.034712,0.357750,0.053610,100.00,760,1.384533,3.965574,1.829370,33.16,400,0.500702,2.101082,0.674502,62.50,1009,0.025531,0.086432,0.026791,100.00,1156,0.023882,0.028574,0.023973,100.00
3_50_directional_fa_values.csv,7160,0.293312,0.028553,0.883273,0.000846,5.963370,0.930700,89.08,850,0.030186,0.033433,0.030199,100.00,667,0.027117,0.031838,0.027614,100.00,2318,0.044847,0.548657,0.080085,99.91,760,2.089789,5.963370,2.754589,25.26,400,0.763803,3.165071,1.021484,47.00,1009,0.028944,0.142873,0.032069,100.00,1156,0.025475,0.030776,0.025568,100.00
4_50_directional_fa_values.csv,7160,0.386940,0.029321,1.182050,0.001666,7.962384,1.243771,87.79,850,0.030907,0.035071,0.030921,100.00,667,0.028082,0.038181,0.028483,100.00,2318,0.054746,0.740691,0.107491,98.79,760,2.796195,7.962384,3.680653,21.71,400,1.028033,4.230108,1.369319,37.25,1009,0.031783,0.200434,0.037976,100.00,1156,0.026125,0.031924,0.026219,100.00
5_50_directional_fa_values.csv,7160,0.480532,0.029790,1.480948,0.001826,9.961742,1.556958,86.86,850,0.031346,0.036429,0.031361,100.00,667,0.029005,0.054851,0.029330,100.00,2318,0.064650,0.933000,0.135352,97.76,760,3.502907,9.961742,4.606946,19.34,400,1.292554,5.295360,1.717386,31.00,1009,0.034561,0.258282,0.044682,100.00,1156,0.026523,0.032819,0.026618,100.00
6_50_directional_fa_values.csv,7160,0.574030,0.029953,1.779977,0.007356,11.961520,1.870249,86.02,850,0.031499,0.037492,0.031515,100.00,667,0.029760,0.071912,0.030155,100.00,2318,0.074460,1.125826,0.163482,96.55,760,4.209916,11.961520,5.533472,17.63,400,1.557381,6.360893,2.065692,26.25,1009,0.037181,0.316435,0.051916,100.00,1156,0.026670,0.033406,0.026764,100.00
7_50_directional_fa_values.csv,7160,0.667316,0.029664,2.079250,0.010125,13.961956,2.183711,85.27,850,0.031199,0.038098,0.031216,100.00,667,0.030133,0.089534,0.030837,100.00,2318,0.084030,1.319008,0.191843,95.60,760,4.917451,13.961956,6.460427,16.05,400,1.822749,7.426941,2.414416,21.25,1009,0.039405,0.375155,0.059474,100.00,1156,0.026353,0.033439,0.026446,100.00
8_50_directional_fa_values.csv,7160,0.760518,0.029138,2.378622,0.007082,15.962723,2.497244,84.59,850,0.030735,0.038502,0.030753,100.00,667,0.030363,0.107330,0.031636,100.00,2318,0.093510,1.512411,0.220352,94.56,760,5.625189,15.962723,7.387548,14.61,400,2.088338,8.493162,2.763312,18.00,1009,0.041453,0.434121,0.067351,100.00,1156,0.025838,0.033321,0.025929,100.00
